"
Продукт ","
Бел, г ","
Жир, г ","
Угл, г ","
Кал, ккал "
Зубатка отварная ,15.5 ,5.8 ,0.0 ,114
Зубатка пёстрая ,19.6 ,5.3 ,0.0 ,126
Зубатка полосатая ,16.0 ,5.0 ,0.0 ,109
Икра ,36.0 ,10.2 ,0.0 ,123
Икра Балтийский берег красная имитированная слабосоленая лососевая ,2.0 ,9.0 ,1.0 ,85
Икра Балтийский берег черная имитированная слабосоленая ,0.0 ,1.0 ,1.0 ,13
Икра белужья зернистая ,27.2 ,14.2 ,0.0 ,237
Икра виноградных улиток ,16.1 ,1.4 ,2.0 ,90
Икра горбуши зернистая ,31.2 ,11.7 ,0.0 ,230
Икра жёлтая (частиковая) ,17.5 ,2.0 ,0.0 ,88
Икра из морских водорослей Здоровье (красная) ,0.4 ,2.0 ,2.5 ,30
Икра из морских водорослей Здоровье (черная) ,0.4 ,2.5 ,4.0 ,40
Икра искусственная ,1.0 ,5.0 ,2.6 ,64
Икра кеты зернистая ,31.6 ,13.8 ,0.0 ,251
Акула катран ,19.9 ,7.0 ,0.0 ,142
Акульи плавники ,21.0 ,4.8 ,0.0 ,130
Амур белый ,18.6 ,5.3 ,0.0 ,134
Амур чёрный ,17.5 ,2.0 ,0.0 ,88
Анчоус атлантический ,20.1 ,6.1 ,0.0 ,135
Анчоусная паста ,26.0 ,16.0 ,4.0 ,280
Анчоусы консервированные ,20.1 ,6.1 ,0.0 ,135
Аргентина ,17.6 ,2.0 ,0.0 ,88
Барабулька (султанка) ,19.4 ,3.8 ,0.0 ,117
Белоглазка ,17.5 ,2.0 ,0.0 ,88
Белорыбица ,17.5 ,2.0 ,0.0 ,88
Белуга бланшированная ,23.3 ,15.6 ,0.0 ,234
Белуга свежая ,21.0 ,0.7 ,0.0 ,147
Белуга сушеная ,69.9 ,5.3 ,0.0 ,327
Бельдюга ,17.5 ,2.0 ,0.0 ,88
Берикс ,20.3 ,0.8 ,0.0 ,88
Бестер ,21.0 ,0.7 ,0.0 ,147
Бопс (Полосатик) ,15.3 ,1.5 ,0.0 ,79
Бротола ,19.4 ,1.6 ,0.0 ,92
Бычки в томатном соусе ,17.5 ,2.0 ,0.0 ,88
Бычок ,17.5 ,2.0 ,0.0 ,88
Венерка ,14.7 ,1.0 ,3.6 ,86
Визига ,1.2 ,0.1 ,6.0 ,28
Вобла вяленая ,46.4 ,5.5 ,0.0 ,235
Вобла копчёная ,31.1 ,6.3 ,0.0 ,181
Вобла свежая ,18.0 ,2.8 ,0.0 ,97
Водоросли бурые ,1.7 ,0.6 ,8.3 ,43
Водоросли зелёные ,1.5 ,0.0 ,5.0 ,25
Водоросли красные ,1.5 ,0.0 ,5.0 ,25
Водоросль вакаме ,3.0 ,0.6 ,8.6 ,45
Водоросль далс ,1.5 ,0.0 ,5.0 ,25
Водоросль ирландский мох (карраген) ,1.5 ,0.2 ,11.0 ,49
Водоросль кантен ,0.5 ,0.0 ,6.3 ,26
Водоросль комбу ,8.3 ,8.3 ,10.0 ,77
Водоросль лиму ,1.7 , 0.2 ,4.3 ,25
Водоросль нори ,46.1 ,0.1 ,41.0 ,349
Водоросль порфира ,5.8 ,0.3 ,4.8 ,35
Водоросль спирулина ,4.2 ,2.5 ,9.9 ,79
Водоросль ульва ,1.9 ,0.0 ,3.8 ,25
Водоросль уми будо ,1.5 ,0.4 ,4.8 ,25
Водоросль фукус ,3.0 ,0.6 ,8.6 ,35
Гладкоголов ,8.0 ,1.9 ,0.0 ,49
Голавль ,17.8 ,5.6 ,0.0 ,127
Голец ,22.4 ,5.7 ,0.0 ,135
Горбуша горячего копчения ,23.2 ,7.6 ,0.0 ,161
Горбуша жареная в кляре ,17.1 ,16.4 ,15.2 ,281
Горбуша запеченная в шубе ,13.2 ,13.1 ,3.2 ,184
Горбуша маринованная ,20.9 ,5.8 ,0.0 ,136
Горбуша натуральная Балт-Фиш Плюс ,15.0 ,1.5 ,0.0 ,75
Горбуша натуральная Русский рыбный мир ,21.0 ,6.0 ,0.0 ,138
Горбуша отварная ,22.9 ,7.8 , 0.0 ,168
Горбуша Рыбная Миля кусочки холодного копчения косичка ,24.0 ,9.0 ,0.0 ,177
Горбуша свежая ,20.5 ,6.5 ,0.0 ,142
Горбуша солёная ,22.1 ,9.0 ,0.0  ,169
Горбыль ,22.5 ,6.3 ,0.0 ,153
Групер (мероу) ,24.8 ,1.3 ,0.0 ,118
Густера ,15.1 ,2.4 ,0.0 ,97
Дорадо ,18.0 ,3.0 ,0.0 ,96
Ёрш ,17.5 ,2.0 ,0.0 ,88
Желтохвост (лакедра) ,21.0 ,16.0 ,0.0 ,240
Желтый полосатик ,17.5  ,2.0 ,0.0 ,88
Желтый полосатик сушеный ,50.0 ,7.5 ,0.0 ,267
Жерех ,18.8 ,2.6 ,0.0 ,98
Зубан ,18.8 ,6.3 ,0.0 ,131
Зубатка жареная ,22.2 ,11.5 ,4.1 ,209
Зубатка запеченная ,7.4 ,8.8 ,6.8 ,137
Зубатка отварная ,15.5 ,5.8 ,0.0 ,114
Зубатка пёстрая ,19.6 ,5.3 ,0.0 ,126
Зубатка полосатая ,16.0 ,5.0 ,0.0 ,109
Икра ,36.0 ,10.2 ,0.0 ,123
Икра Балтийский берег красная имитированная слабосоленая лососевая ,2.0 ,9.0 ,1.0 ,85
Икра Балтийский берег черная имитированная слабосоленая ,0.0 ,1.0 ,1.0 ,13
Икра белужья зернистая ,27.2 ,14.2 ,0.0 ,237
Икра виноградных улиток ,16.1 ,1.4 ,2.0 ,90
Икра горбуши зернистая ,31.2 ,11.7 ,0.0 ,230
Икра жёлтая (частиковая) ,17.5 ,2.0 ,0.0 ,88
Икра из морских водорослей Здоровье (красная) ,0.4 ,2.0 ,2.5 ,30
Икра из морских водорослей Здоровье (черная) ,0.4 ,2.5 ,4.0 ,40
Икра искусственная ,1.0 ,5.0 ,2.6 ,64
Икра кеты зернистая ,31.6 ,13.8 ,0.0 ,251
Акула катран ,19.9 ,7.0 ,0.0 ,142
Акульи плавники ,21.0 ,4.8 ,0.0 ,130
Амур белый ,18.6 ,5.3 ,0.0 ,134
Амур чёрный ,17.5 ,2.0 ,0.0 ,88
Анчоус атлантический ,20.1 ,6.1 ,0.0 ,135
Анчоусная паста ,26.0 ,16.0 ,4.0 ,280
Анчоусы консервированные ,20.1 ,6.1 ,0.0 ,135
Аргентина ,17.6 ,2.0 ,0.0 ,88
Барабулька (султанка) ,19.4 ,3.8 ,0.0 ,117
Белоглазка ,17.5 ,2.0 ,0.0 ,88
Белорыбица ,17.5 ,2.0 ,0.0 ,88
Белуга бланшированная ,23.3 ,15.6 ,0.0 ,234
Белуга свежая ,21.0 ,0.7 ,0.0 ,147
Белуга сушеная ,69.9 ,5.3 ,0.0 ,327
Бельдюга ,17.5 ,2.0 ,0.0 ,88
Берикс ,20.3 ,0.8 ,0.0 ,88
Бестер ,21.0 ,0.7 ,0.0 ,147
Бопс (Полосатик) ,15.3 ,1.5 ,0.0 ,79
Бротола ,19.4 ,1.6 ,0.0 ,92
Бычки в томатном соусе ,17.5 ,2.0 ,0.0 ,88
Бычок ,17.5 ,2.0 ,0.0 ,88
Венерка ,14.7 ,1.0 ,3.6 ,86
Визига ,1.2 ,0.1 ,6.0 ,28
Вобла вяленая ,46.4 ,5.5 ,0.0 ,235
Вобла копчёная ,31.1 ,6.3 ,0.0 ,181
Вобла свежая ,18.0 ,2.8 ,0.0 ,97
Водоросли бурые ,1.7 ,0.6 ,8.3 ,43
Водоросли зелёные ,1.5 ,0.0 ,5.0 ,25
Водоросли красные ,1.5 ,0.0 ,5.0 ,25
Водоросль вакаме ,3.0 ,0.6 ,8.6 ,45
Водоросль далс ,1.5 ,0.0 ,5.0 ,25
Водоросль ирландский мох (карраген) ,1.5 ,0.2 ,11.0 ,49
Водоросль кантен ,0.5 ,0.0 ,6.3 ,26
Водоросль комбу ,8.3 ,8.3 ,10.0 ,77
Водоросль лиму ,1.7 , 0.2 ,4.3 ,25
Водоросль нори ,46.1 ,0.1 ,41.0 ,349
Водоросль порфира ,5.8 ,0.3 ,4.8 ,35
Водоросль спирулина ,4.2 ,2.5 ,9.9 ,79
Водоросль ульва ,1.9 ,0.0 ,3.8 ,25
Водоросль уми будо ,1.5 ,0.4 ,4.8 ,25
Водоросль фукус ,3.0 ,0.6 ,8.6 ,35
Гладкоголов ,8.0 ,1.9 ,0.0 ,49
Голавль ,17.8 ,5.6 ,0.0 ,127
Голец ,22.4 ,5.7 ,0.0 ,135
Горбуша горячего копчения ,23.2 ,7.6 ,0.0 ,161
Горбуша жареная в кляре ,17.1 ,16.4 ,15.2 ,281
Горбуша запеченная в шубе ,13.2 ,13.1 ,3.2 ,184
Горбуша маринованная ,20.9 ,5.8 ,0.0 ,136
Горбуша натуральная Балт-Фиш Плюс ,15.0 ,1.5 ,0.0 ,75
Горбуша натуральная Русский рыбный мир ,21.0 ,6.0 ,0.0 ,138
Горбуша отварная ,22.9 ,7.8 , 0.0 ,168
Горбуша Рыбная Миля кусочки холодного копчения косичка ,24.0 ,9.0 ,0.0 ,177
Горбуша свежая ,20.5 ,6.5 ,0.0 ,142
Горбуша солёная ,22.1 ,9.0 ,0.0  ,169
Горбыль ,22.5 ,6.3 ,0.0 ,153
Групер (мероу) ,24.8 ,1.3 ,0.0 ,118
Густера ,15.1 ,2.4 ,0.0 ,97
Дорадо ,18.0 ,3.0 ,0.0 ,96
Ёрш ,17.5 ,2.0 ,0.0 ,88
Желтохвост (лакедра) ,21.0 ,16.0 ,0.0 ,240
Желтый полосатик ,17.5  ,2.0 ,0.0 ,88
Желтый полосатик сушеный ,50.0 ,7.5 ,0.0 ,267
Жерех ,18.8 ,2.6 ,0.0 ,98
Зубан ,18.8 ,6.3 ,0.0 ,131
Зубатка жареная ,22.2 ,11.5 ,4.1 ,209
Зубатка запеченная ,7.4 ,8.8 ,6.8 ,137
Зубатка отварная ,15.5 ,5.8 ,0.0 ,114
Зубатка пёстрая ,19.6 ,5.3 ,0.0 ,126
Зубатка полосатая ,16.0 ,5.0 ,0.0 ,109
Икра ,36.0 ,10.2 ,0.0 ,123
Икра Балтийский берег красная имитированная слабосоленая лососевая ,2.0 ,9.0 ,1.0 ,85
Икра Балтийский берег черная имитированная слабосоленая ,0.0 ,1.0 ,1.0 ,13
Икра белужья зернистая ,27.2 ,14.2 ,0.0 ,237
Икра виноградных улиток ,16.1 ,1.4 ,2.0 ,90
Икра горбуши зернистая ,31.2 ,11.7 ,0.0 ,230
Икра жёлтая (частиковая) ,17.5 ,2.0 ,0.0 ,88
Икра из морских водорослей Здоровье (красная) ,0.4 ,2.0 ,2.5 ,30
Икра из морских водорослей Здоровье (черная) ,0.4 ,2.5 ,4.0 ,40
Икра искусственная ,1.0 ,5.0 ,2.6 ,64
Икра кеты зернистая ,31.6 ,13.8 ,0.0 ,251
Акула катран ,19.9 ,7.0 ,0.0 ,142
Акульи плавники ,21.0 ,4.8 ,0.0 ,130
Амур белый ,18.6 ,5.3 ,0.0 ,134
Амур чёрный ,17.5 ,2.0 ,0.0 ,88
Анчоус атлантический ,20.1 ,6.1 ,0.0 ,135
Анчоусная паста ,26.0 ,16.0 ,4.0 ,280
Анчоусы консервированные ,20.1 ,6.1 ,0.0 ,135
Аргентина ,17.6 ,2.0 ,0.0 ,88
Барабулька (султанка) ,19.4 ,3.8 ,0.0 ,117
Белоглазка ,17.5 ,2.0 ,0.0 ,88
Белорыбица ,17.5 ,2.0 ,0.0 ,88
Белуга бланшированная ,23.3 ,15.6 ,0.0 ,234
Белуга свежая ,21.0 ,0.7 ,0.0 ,147
Белуга сушеная ,69.9 ,5.3 ,0.0 ,327
Бельдюга ,17.5 ,2.0 ,0.0 ,88
Берикс ,20.3 ,0.8 ,0.0 ,88
Бестер ,21.0 ,0.7 ,0.0 ,147
Бопс (Полосатик) ,15.3 ,1.5 ,0.0 ,79
Бротола ,19.4 ,1.6 ,0.0 ,92
Бычки в томатном соусе ,17.5 ,2.0 ,0.0 ,88
Бычок ,17.5 ,2.0 ,0.0 ,88
Венерка ,14.7 ,1.0 ,3.6 ,86
Визига ,1.2 ,0.1 ,6.0 ,28
Вобла вяленая ,46.4 ,5.5 ,0.0 ,235
Вобла копчёная ,31.1 ,6.3 ,0.0 ,181
Вобла свежая ,18.0 ,2.8 ,0.0 ,97
Водоросли бурые ,1.7 ,0.6 ,8.3 ,43
Водоросли зелёные ,1.5 ,0.0 ,5.0 ,25
Водоросли красные ,1.5 ,0.0 ,5.0 ,25
Водоросль вакаме ,3.0 ,0.6 ,8.6 ,45
Водоросль далс ,1.5 ,0.0 ,5.0 ,25
Водоросль ирландский мох (карраген) ,1.5 ,0.2 ,11.0 ,49
Водоросль кантен ,0.5 ,0.0 ,6.3 ,26
Водоросль комбу ,8.3 ,8.3 ,10.0 ,77
Водоросль лиму ,1.7 , 0.2 ,4.3 ,25
Водоросль нори ,46.1 ,0.1 ,41.0 ,349
Водоросль порфира ,5.8 ,0.3 ,4.8 ,35
Водоросль спирулина ,4.2 ,2.5 ,9.9 ,79
Водоросль ульва ,1.9 ,0.0 ,3.8 ,25
Водоросль уми будо ,1.5 ,0.4 ,4.8 ,25
Водоросль фукус ,3.0 ,0.6 ,8.6 ,35
Гладкоголов ,8.0 ,1.9 ,0.0 ,49
Голавль ,17.8 ,5.6 ,0.0 ,127
Голец ,22.4 ,5.7 ,0.0 ,135
Горбуша горячего копчения ,23.2 ,7.6 ,0.0 ,161
Горбуша жареная в кляре ,17.1 ,16.4 ,15.2 ,281
Горбуша запеченная в шубе ,13.2 ,13.1 ,3.2 ,184
Горбуша маринованная ,20.9 ,5.8 ,0.0 ,136
Горбуша натуральная Балт-Фиш Плюс ,15.0 ,1.5 ,0.0 ,75
Горбуша натуральная Русский рыбный мир ,21.0 ,6.0 ,0.0 ,138
Горбуша отварная ,22.9 ,7.8 , 0.0 ,168
Горбуша Рыбная Миля кусочки холодного копчения косичка ,24.0 ,9.0 ,0.0 ,177
Горбуша свежая ,20.5 ,6.5 ,0.0 ,142
Горбуша солёная ,22.1 ,9.0 ,0.0  ,169
Горбыль ,22.5 ,6.3 ,0.0 ,153
Групер (мероу) ,24.8 ,1.3 ,0.0 ,118
Густера ,15.1 ,2.4 ,0.0 ,97
Дорадо ,18.0 ,3.0 ,0.0 ,96
Ёрш ,17.5 ,2.0 ,0.0 ,88
Желтохвост (лакедра) ,21.0 ,16.0 ,0.0 ,240
Желтый полосатик ,17.5  ,2.0 ,0.0 ,88
Желтый полосатик сушеный ,50.0 ,7.5 ,0.0 ,267
Жерех ,18.8 ,2.6 ,0.0 ,98
Зубан ,18.8 ,6.3 ,0.0 ,131
Зубатка жареная ,22.2 ,11.5 ,4.1 ,209
Зубатка запеченная ,7.4 ,8.8 ,6.8 ,137
Зубатка отварная ,15.5 ,5.8 ,0.0 ,114
Зубатка пёстрая ,19.6 ,5.3 ,0.0 ,126
Зубатка полосатая ,16.0 ,5.0 ,0.0 ,109
Икра ,36.0 ,10.2 ,0.0 ,123
Икра Балтийский берег красная имитированная слабосоленая лососевая ,2.0 ,9.0 ,1.0 ,85
Икра Балтийский берег черная имитированная слабосоленая ,0.0 ,1.0 ,1.0 ,13
Икра белужья зернистая ,27.2 ,14.2 ,0.0 ,237
Икра виноградных улиток ,16.1 ,1.4 ,2.0 ,90
Икра горбуши зернистая ,31.2 ,11.7 ,0.0 ,230
Икра жёлтая (частиковая) ,17.5 ,2.0 ,0.0 ,88
Икра из морских водорослей Здоровье (красная) ,0.4 ,2.0 ,2.5 ,30
Икра из морских водорослей Здоровье (черная) ,0.4 ,2.5 ,4.0 ,40
Икра искусственная ,1.0 ,5.0 ,2.6 ,64
Икра кеты зернистая ,31.6 ,13.8 ,0.0 ,251
Акула катран ,19.9 ,7.0 ,0.0 ,142
Акульи плавники ,21.0 ,4.8 ,0.0 ,130
Амур белый ,18.6 ,5.3 ,0.0 ,134
Амур чёрный ,17.5 ,2.0 ,0.0 ,88
Анчоус атлантический ,20.1 ,6.1 ,0.0 ,135
Анчоусная паста ,26.0 ,16.0 ,4.0 ,280
Анчоусы консервированные ,20.1 ,6.1 ,0.0 ,135
Аргентина ,17.6 ,2.0 ,0.0 ,88
Барабулька (султанка) ,19.4 ,3.8 ,0.0 ,117
Белоглазка ,17.5 ,2.0 ,0.0 ,88
Белорыбица ,17.5 ,2.0 ,0.0 ,88
Белуга бланшированная ,23.3 ,15.6 ,0.0 ,234
Белуга свежая ,21.0 ,0.7 ,0.0 ,147
Белуга сушеная ,69.9 ,5.3 ,0.0 ,327
Бельдюга ,17.5 ,2.0 ,0.0 ,88
Берикс ,20.3 ,0.8 ,0.0 ,88
Бестер ,21.0 ,0.7 ,0.0 ,147
Бопс (Полосатик) ,15.3 ,1.5 ,0.0 ,79
Бротола ,19.4 ,1.6 ,0.0 ,92
Бычки в томатном соусе ,17.5 ,2.0 ,0.0 ,88
Бычок ,17.5 ,2.0 ,0.0 ,88
Венерка ,14.7 ,1.0 ,3.6 ,86
Визига ,1.2 ,0.1 ,6.0 ,28
Вобла вяленая ,46.4 ,5.5 ,0.0 ,235
Вобла копчёная ,31.1 ,6.3 ,0.0 ,181
Вобла свежая ,18.0 ,2.8 ,0.0 ,97
Водоросли бурые ,1.7 ,0.6 ,8.3 ,43
Водоросли зелёные ,1.5 ,0.0 ,5.0 ,25
Водоросли красные ,1.5 ,0.0 ,5.0 ,25
Водоросль вакаме ,3.0 ,0.6 ,8.6 ,45
Водоросль далс ,1.5 ,0.0 ,5.0 ,25
Водоросль ирландский мох (карраген) ,1.5 ,0.2 ,11.0 ,49
Водоросль кантен ,0.5 ,0.0 ,6.3 ,26
Водоросль комбу ,8.3 ,8.3 ,10.0 ,77
Водоросль лиму ,1.7 , 0.2 ,4.3 ,25
Водоросль нори ,46.1 ,0.1 ,41.0 ,349
Водоросль порфира ,5.8 ,0.3 ,4.8 ,35
Водоросль спирулина ,4.2 ,2.5 ,9.9 ,79
Водоросль ульва ,1.9 ,0.0 ,3.8 ,25
Водоросль уми будо ,1.5 ,0.4 ,4.8 ,25
Водоросль фукус ,3.0 ,0.6 ,8.6 ,35
Гладкоголов ,8.0 ,1.9 ,0.0 ,49
Голавль ,17.8 ,5.6 ,0.0 ,127
Голец ,22.4 ,5.7 ,0.0 ,135
Горбуша горячего копчения ,23.2 ,7.6 ,0.0 ,161
Горбуша жареная в кляре ,17.1 ,16.4 ,15.2 ,281
Горбуша запеченная в шубе ,13.2 ,13.1 ,3.2 ,184
Горбуша маринованная ,20.9 ,5.8 ,0.0 ,136
Горбуша натуральная Балт-Фиш Плюс ,15.0 ,1.5 ,0.0 ,75
Горбуша натуральная Русский рыбный мир ,21.0 ,6.0 ,0.0 ,138
Горбуша отварная ,22.9 ,7.8 , 0.0 ,168
Горбуша Рыбная Миля кусочки холодного копчения косичка ,24.0 ,9.0 ,0.0 ,177
Горбуша свежая ,20.5 ,6.5 ,0.0 ,142
Горбуша солёная ,22.1 ,9.0 ,0.0  ,169
Горбыль ,22.5 ,6.3 ,0.0 ,153
Групер (мероу) ,24.8 ,1.3 ,0.0 ,118
Густера ,15.1 ,2.4 ,0.0 ,97
Дорадо ,18.0 ,3.0 ,0.0 ,96
Ёрш ,17.5 ,2.0 ,0.0 ,88
Желтохвост (лакедра) ,21.0 ,16.0 ,0.0 ,240
Желтый полосатик ,17.5  ,2.0 ,0.0 ,88
Желтый полосатик сушеный ,50.0 ,7.5 ,0.0 ,267
Жерех ,18.8 ,2.6 ,0.0 ,98
Зубан ,18.8 ,6.3 ,0.0 ,131
Зубатка жареная ,22.2 ,11.5 ,4.1 ,209
Зубатка запеченная ,7.4 ,8.8 ,6.8 ,137
Зубатка отварная ,15.5 ,5.8 ,0.0 ,114
Зубатка пёстрая ,19.6 ,5.3 ,0.0 ,126
Зубатка полосатая ,16.0 ,5.0 ,0.0 ,109
Икра ,36.0 ,10.2 ,0.0 ,123
Икра Балтийский берег красная имитированная слабосоленая лососевая ,2.0 ,9.0 ,1.0 ,85
Икра Балтийский берег черная имитированная слабосоленая ,0.0 ,1.0 ,1.0 ,13
Икра белужья зернистая ,27.2 ,14.2 ,0.0 ,237
Икра виноградных улиток ,16.1 ,1.4 ,2.0 ,90
Икра горбуши зернистая ,31.2 ,11.7 ,0.0 ,230
Икра жёлтая (частиковая) ,17.5 ,2.0 ,0.0 ,88
Икра из морских водорослей Здоровье (красная) ,0.4 ,2.0 ,2.5 ,30
Икра из морских водорослей Здоровье (черная) ,0.4 ,2.5 ,4.0 ,40
Икра искусственная ,1.0 ,5.0 ,2.6 ,64
Икра кеты зернистая ,31.6 ,13.8 ,0.0 ,251
Баренцев Анчоус солёно-сушёный ,49.0 ,7.0 ,0.0 ,259
Баренцев Кальмар кольца ,53.0 ,2.0 ,3.0 , 242
Баренцев Кальмар копчёный ,53.0 ,2.0 ,3.0 ,242
Баренцев Кальмар солёно-сушёный ,62.0 ,2.0 ,5.0 ,286
Баренцев Креветка со специями ,36.0 ,4.0 ,3.0 ,192
Баренцев Окинэль ломтики филе ,50.7 ,8.6 ,0.0 ,280
Баренцев Окинэль с перцем ,50.7 ,8.6 ,0.0 ,280
Баренцев Соломка рыбная оригинальная ,46.0 ,3.0 ,5.0 ,231
Баренцев Соломка рыбная подкопченная ,46.0 ,3.0 ,5.0 ,231
Баренцев Сомуль солёно-сушёный ,65.8 ,1.2 ,0.0 ,274
Баренцев Ставридка золотистая подкопченная ,48.0 ,8.0 ,0.0 ,264
Баренцев Ставридка серебристая солёно-сушёная ,48.0 ,8.0 ,0.0 ,264
Баренцев Тунец солёно-сушёный ,57.8 ,0.3 ,0.0 ,234
Баренцев Чиксы рыбка с перцем ,50.7 ,8.6 , 0.0 ,280
Попкорн карамельный ,5.3 ,8.7 ,76.1 ,401
Попкорн солёный ,7.3 ,13.5 ,62.7 ,407
Попкорн сырный ,5.8 ,30.8 ,50.1 ,506
Сильвер Анчоус солёно-сушеный ,57.4 ,3.1 ,0.1 ,258
Сильвер Жёлтая рыбка ,40.0 ,16.9 ,1.0 ,336
Сильвер Жёлтый полосатик ,52.4 ,5.8 ,3.3 ,262
Сильвер Кальмар копчёный ,58.0 ,1.0 ,3.0 ,263
Сильвер Кальмар сушёный ,58.0 ,1.0 ,3.0 ,263
Сильвер Камбала ,57.9 ,2.0 ,3.0 ,275
Сильвер Кольца кальмара ,45.0 ,1.0 ,13.0 ,241
Сильвер Кольца кальмара копчёные ,45.0 ,1.0 ,13.0 ,241
Сильвер Креветка гриль ,42.0 ,0.5 ,2.0 ,150
Сильвер Морской язык ,40.0 ,16.9 ,3.0 ,336
Сильвер Осьминог сушёный ,31.0 ,0.5 ,2.0 ,95
Сильвер Ставридка ,52.4 ,5.8 ,3.3 ,262
Сильвер Тунец серебристый ,46.3 ,8.8 ,0.0 ,200
Сильвер Угорь ,57.9 ,2.0 ,3.0 ,275
Сильвер Янтайная рыбка ,40.0 ,16.9 ,1.0 ,336
Снеки Cheetos кукурузные Хот Дог ,5.5 ,16.0 ,6.9 , 490
Соломка картофельная Бульба Sticks Кетчуп ,5.8 ,30.0 ,52.0 ,510
Соломка картофельная Бульба Sticks Сметана и лук ,6.3 ,30.0 ,51.0 ,510
Соломка рыбная ,46.0 ,3.0 , 5.0 ,231
Соломка сладкая ,9.1 ,6.1 ,69.3 ,372
Соломка солёная ,9.4 ,4.5 ,67.0 ,347
Сухарики Хрусteam Багет сырное ассорти ,10.5 ,15.7 ,66.0 ,445
Сухарики Хрусteam копчёная колбаска ,9.1 ,14.4 ,64.0 ,423
Сухарики Хрусteam лесные грибы ,9.0 ,14.3 ,66.0 ,428
Сухарики Хрусteam салями ,8.5 ,12.0 ,69.0 ,425
Сухарики Хрусteam сметана ,9.5 ,15.0 ,63.0 ,426
Сухарики Хрусteam сыр ,9.1 ,14.5 ,65.0 ,427
Сухарики Хрусteam телятина на гриле ,8.8 ,14.0 ,65.0 ,420
Сухарики Хрусteam томат ,9.0 ,14.3 ,65.0 ,426
Сырцееды сыр копчёный классический ,46.4 ,24.0 ,0.0 ,413
Сырцееды сыр копчёный со вкусом томата ,46.4 ,24.0 ,0.0 ,413
Сырцееды сыр копчёный со вкусом чеснока и укропа ,46.4 ,24.0 ,0.0 ,413
Чипсы Don Nachos кукурузные оригинальные ,7.0 ,25.0 ,61.0 ,497
Чипсы Estrella деревенская сметана и лук ,5.2 ,30.9 ,53.9 ,514
Чипсы Estrella душистый укроп ,5.2 ,31.2 ,53.7 ,517
Чипсы Estrella нежный сыр ,4.9 ,31.5 ,53.8 ,519
Чипсы Estrella сметана и нежный сыр ,4.9 ,31.4 ,53.7 ,518
Чипсы Lays Max сметана и лук ,6.0 ,30.0 ,53.0 ,510
Чипсы Lays Max сметана и сыр ,6.5 ,30.0 ,53.0 ,510
Чипсы Lays бекон ,6.5 ,30.0 ,53.0 ,510
Чипсы Lays белые грибы со сметаной ,6.0 ,32.0 ,51.0 ,515
Чипсы Lays зелёный лук ,6.5 ,30.0 ,53.0 ,510
Чипсы Lays краб ,6.5 ,30.0 ,53.0 ,510
Чипсы Lays красная икра ,7.0 ,30.0 ,53.0 ,510
Чипсы Lays малосольные огурчики с укропом ,6.5 ,31.0 ,53.0 ,520
Чипсы Lays с солью ,6.0 ,31.0 ,52.0 ,520
Чипсы Lays сметана и зелень ,6.0 ,30.0 ,53.0 ,510
Чипсы Lays сыр ,6.5 ,30.0 ,53.0 ,510
Чипсы Lays шашлык ,6.0 ,32.0 ,51.0 ,515
Чипсы Pringles барбекю ,4.9 ,35.0 ,48.0 ,550
Чипсы Pringles копчёный бекон ,5.1 ,34.0 ,49.0 ,551
Чипсы Pringles оригинальные ,4.1 ,36.0 ,49.0 ,540
Чипсы Pringles паприка ,3.2 ,34.0 ,49.0 ,529
Чипсы Pringles сметана и лук ,3.9 ,34.0 ,50.0 ,527
Чипсы Pringles сыр и лук ,4.1 ,34.0 ,50.0 ,550
Чипсы Pringles сырный сыр ,5.0 ,35.0 ,48.0 ,534
Чипсы Rice Up! цельнозерновые из бурого риса Песто ,7.3 ,16.0 ,70.0 ,459
Чипсы Rice Up! цельнозерновые из бурого риса Сметана с луком ,7.5 ,19.0 ,65.0 ,468
Чипсы Rice Up! цельнозерновые из бурого риса Сыр ,7.6 ,14.0 ,72.0 ,451
Чипсы Rice Up! цельнозерновые из бурого риса Хамон Иберико ,7.2 ,13.0 ,73.0 ,444
Чипсы банановые ,2.3 ,33.6 ,50.7 ,519
Чипсы картофельные ,5.5 ,30.0 ,53.0 ,520
Чипсы кокосовые ,5.9 ,35.5 ,55.8 ,566
Баренцев Анчоус солёно-сушёный ,49.0 ,7.0 ,0.0 ,259
Баренцев Кальмар кольца ,53.0 ,2.0 ,3.0 , 242
Баренцев Кальмар копчёный ,53.0 ,2.0 ,3.0 ,242
Баренцев Кальмар солёно-сушёный ,62.0 ,2.0 ,5.0 ,286
Баренцев Креветка со специями ,36.0 ,4.0 ,3.0 ,192
Баренцев Окинэль ломтики филе ,50.7 ,8.6 ,0.0 ,280
Баренцев Окинэль с перцем ,50.7 ,8.6 ,0.0 ,280
Баренцев Соломка рыбная оригинальная ,46.0 ,3.0 ,5.0 ,231
Баренцев Соломка рыбная подкопченная ,46.0 ,3.0 ,5.0 ,231
Баренцев Сомуль солёно-сушёный ,65.8 ,1.2 ,0.0 ,274
Баренцев Ставридка золотистая подкопченная ,48.0 ,8.0 ,0.0 ,264
Баренцев Ставридка серебристая солёно-сушёная ,48.0 ,8.0 ,0.0 ,264
Баренцев Тунец солёно-сушёный ,57.8 ,0.3 ,0.0 ,234
Баренцев Чиксы рыбка с перцем ,50.7 ,8.6 , 0.0 ,280
Попкорн карамельный ,5.3 ,8.7 ,76.1 ,401
